2017-11-05 20:12:25,333 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Subscribe: provider://192.168.28.133:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get&pid=8116&revision=dev&side=provider&timestamp=1509883944330&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:12:25,528 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Notify urls for subscribe url provider://192.168.28.133:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get&pid=8116&revision=dev&side=provider&timestamp=1509883944330&version=dev, urls: [empty://192.168.28.133:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get&pid=8116&revision=dev&side=provider&timestamp=1509883944330&version=dev], dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:12:25,590 INFO [com.alibaba.dubbo.container.Main] -  [DUBBO] Dubbo SpringContainer started!, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:12:57,272 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.28.133:9327. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:12:57,273 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.28.133:6699,url:dubbo://192.168.28.133:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get&pid=8116&revision=dev&side=provider&timestamp=1509883944330&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:19:06,757 INFO [com.alibaba.dubbo.common.logger.LoggerFactory] - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2017-11-05 20:19:06,860 INFO [com.alibaba.dubbo.container.Main] -  [DUBBO] Use container type([spring]) to run dubbo serivce., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:19:10,911 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] The service ready on spring started. service: cn.mldn.dibmp.service.IMemberService, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:19:11,090 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Export dubbo service cn.mldn.dibmp.service.IMemberService to local registry, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:19:11,090 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Export dubbo service cn.mldn.dibmp.service.IMemberService to url dubbo://192.168.28.133:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get&pid=8120&revision=dev&side=provider&timestamp=1509884350936&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:19:11,091 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Register dubbo service cn.mldn.dibmp.service.IMemberService url dubbo://192.168.28.133:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get&pid=8120&revision=dev&side=provider&timestamp=1509884350936&version=dev to registry registry://192.168.28.109:2181/com.alibaba.dubbo.registry.RegistryService?application=mldn-service-member&dubbo=2.5.6&pid=8120&registry=zookeeper&timestamp=1509884350923, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:19:11,292 INFO [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] Start NettyServer bind /0.0.0.0:9327, export /192.168.28.133:9327, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:19:11,316 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Load registry store file C:\Users\Administrator\.dubbo\dubbo-registry-192.168.28.109.cache, data: {cn.mldn.dibmp.service.IMemberService:dev=empty://192.168.28.133/cn.mldn.dibmp.service.IMemberService?application=mldn-service-test&category=configurators&dubbo=2.5.6&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get&pid=5180&revision=0.0.1&side=consumer&timestamp=1509883973217&version=dev empty://192.168.28.133/cn.mldn.dibmp.service.IMemberService?application=mldn-service-test&category=routers&dubbo=2.5.6&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get&pid=5180&revision=0.0.1&side=consumer&timestamp=1509883973217&version=dev dubbo://192.168.28.133:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get&pid=8116&revision=dev&side=provider&timestamp=1509883944330&version=dev, cn.mldn.dibmp.sale.service.ISaleService:dev=empty://192.168.28.133/cn.mldn.dibmp.sale.service.ISaleService?application=mldn-service-test&category=configurators&dubbo=2.5.6&interface=cn.mldn.dibmp.sale.service.ISaleService&methods=edit,list&pid=5180&revision=0.0.1&side=consumer&timestamp=1509883976183&version=dev empty://192.168.28.133/cn.mldn.dibmp.sale.service.ISaleService?application=mldn-service-test&category=routers&dubbo=2.5.6&interface=cn.mldn.dibmp.sale.service.ISaleService&methods=edit,list&pid=5180&revision=0.0.1&side=consumer&timestamp=1509883976183&version=dev dubbo://192.168.28.133:9328/cn.mldn.dibmp.sale.service.ISaleService?anyhost=true&application=mldn-service-sale&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.sale.service.ISaleService&methods=edit,list&pid=5900&revision=dev&side=provider&timestamp=1509883959542&version=dev}, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:19:11,525 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Register: dubbo://192.168.28.133:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get&pid=8120&revision=dev&side=provider&timestamp=1509884350936&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-05 20:19:11,804 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Subscribe: provider://192.168.28.133:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get&pid=8120&revision=dev&side=provider&timestamp=1509884350936&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
